feature_set,pos_weight,leaf,max_features,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
bcfs_fisher1024_halfbcfs124,0.35,10,sqrt,fs_acc,0.46322071055545144,0.6337096774193548,0.8124069478908189,0.8224270353302612,"[[751, 334], [44, 886]]"
fisher124,0.35,6,0.4,default,0.5,0.6159677419354839,0.8119106699751861,0.8225806451612903,"[[742, 343], [36, 894]]"
bcfs_anova1024_imp124,0.35,8,sqrt,fs_acc,0.47805382011701375,0.6288709677419355,0.8119106699751861,0.8220430107526882,"[[749, 336], [43, 887]]"
bcfs_fisher1024_imp124,0.35,8,sqrt,fs_acc,0.47805382011701375,0.6288709677419355,0.8119106699751861,0.8220430107526882,"[[749, 336], [43, 887]]"
bcfs_anova1024_imp124,0.45,10,sqrt,default,0.5,0.6288709677419355,0.8119106699751861,0.8212749615975422,"[[759, 326], [53, 877]]"
bcfs_fisher1024_imp124,0.45,10,sqrt,default,0.5,0.6288709677419355,0.8119106699751861,0.8212749615975422,"[[759, 326], [53, 877]]"
bcfs_anova1024_imp124,0.45,10,sqrt,fs_acc,0.5098543839885566,0.6295161290322581,0.8104218362282879,0.8189708141321044,"[[768, 317], [65, 865]]"
bcfs_fisher1024_imp124,0.45,10,sqrt,fs_acc,0.5098543839885566,0.6295161290322581,0.8104218362282879,0.8189708141321044,"[[768, 317], [65, 865]]"
bcfs_anova1024_imp124,0.35,10,sqrt,fs_acc,0.4622271133919781,0.6311290322580645,0.8099255583126551,0.8197388632872504,"[[751, 334], [49, 881]]"
bcfs_fisher1024_imp124,0.35,10,sqrt,fs_acc,0.46222711339197814,0.6311290322580645,0.8099255583126551,0.8197388632872504,"[[751, 334], [49, 881]]"
bcfs_anova1024_imp124,0.55,10,sqrt,fs_acc,0.515144712046603,0.6288709677419355,0.8069478908188585,0.8173579109062981,"[[740, 345], [44, 886]]"
bcfs_fisher1024_imp124,0.55,10,sqrt,fs_acc,0.515144712046603,0.6288709677419355,0.8069478908188585,0.8173579109062981,"[[740, 345], [44, 886]]"
bcfs_anova1024_imp124,0.55,10,sqrt,default,0.5,0.6279032258064516,0.8034739454094293,0.8151305683563748,"[[720, 365], [31, 899]]"
bcfs_fisher1024_imp124,0.55,10,sqrt,default,0.5,0.6279032258064516,0.8034739454094293,0.8151305683563748,"[[720, 365], [31, 899]]"
fisher124,0.35,6,0.4,fs_acc,0.4488226865506793,0.6298387096774194,0.798014888337469,0.8122887864823348,"[[680, 405], [2, 928]]"
bcfs_anova1024_halfbcfs124,0.35,6,0.4,default,0.5,0.6366129032258064,0.7970223325062035,0.8067588325652841,"[[738, 347], [62, 868]]"
bcfs_fisher1024_halfbcfs124,0.35,6,0.4,default,0.5,0.6366129032258064,0.7970223325062035,0.8067588325652841,"[[738, 347], [62, 868]]"
anova124,0.35,6,0.4,fs_acc,0.42942150116228855,0.632258064516129,0.7950372208436725,0.8095238095238095,"[[674, 411], [2, 928]]"
bcfs_anova1024_imp124,0.35,6,0.4,fs_acc,0.5188043497020822,0.631774193548387,0.7950372208436725,0.8039938556067588,"[[746, 339], [74, 856]]"
bcfs_fisher1024_imp124,0.35,6,0.4,fs_acc,0.5188043497020822,0.631774193548387,0.7950372208436725,0.8039938556067588,"[[746, 339], [74, 856]]"
bcfs_anova1024_imp124,0.35,6,0.4,default,0.5,0.6285483870967742,0.7925558312655087,0.8031490015360984,"[[722, 363], [55, 875]]"
bcfs_fisher1024_imp124,0.35,6,0.4,default,0.5,0.6285483870967742,0.7925558312655087,0.8031490015360984,"[[722, 363], [55, 875]]"
bcfs_anova1024_halfbcfs124,0.35,6,0.4,fs_acc,0.431633271144552,0.6406451612903226,0.7766749379652605,0.7911674347158218,"[[654, 431], [19, 911]]"
bcfs_fisher1024_halfbcfs124,0.35,6,0.4,fs_acc,0.431633271144552,0.6406451612903226,0.7766749379652605,0.7911674347158218,"[[654, 431], [19, 911]]"
