name,pos_weight,leaf,seed,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
best_seed198,0.35,8,198,0.49549999999999994,0.6240322580645161,0.6223219338669254,0.8833746898263027,0.8906298003072197,"[[864, 221], [14, 916]]"
best_seed198,0.35,8,198,0.496,0.6243548387096775,0.622612984073086,0.8833746898263027,0.8906298003072197,"[[864, 221], [14, 916]]"
best_seed198,0.35,8,198,0.49749999999999994,0.6243548387096775,0.6225644757053925,0.8833746898263027,0.8905529953917051,"[[865, 220], [15, 915]]"
best_seed198,0.35,8,198,0.498,0.6245161290322581,0.6227019160805238,0.8833746898263027,0.8905529953917051,"[[865, 220], [15, 915]]"
best_seed198,0.35,8,198,0.49849999999999994,0.6241935483870967,0.6223461880507721,0.8833746898263027,0.8905529953917051,"[[865, 220], [15, 915]]"
best_seed198,0.35,8,198,0.5011090526856279,0.6229032258064516,0.6207615813727868,0.8833746898263027,0.8902457757296467,"[[869, 216], [19, 911]]"
best_seed198,0.35,8,198,0.5085,0.6222580645161291,0.6196297194599402,0.8833746898263027,0.8896313364055299,"[[877, 208], [27, 903]]"
best_seed28,0.35,10,28,0.496,0.63,0.6279246503355163,0.8833746898263027,0.8893241167434716,"[[881, 204], [31, 899]]"
best_seed28,0.35,10,28,0.49749999999999994,0.63,0.6278438030560272,0.8833746898263027,0.8891705069124424,"[[883, 202], [33, 897]]"
best_seed28,0.35,10,28,0.498,0.63,0.6278438030560272,0.8833746898263027,0.8890937019969278,"[[884, 201], [34, 896]]"
best_seed28,0.35,10,28,0.4981162779783299,0.6298387096774194,0.6276740237691002,0.8833746898263027,0.8890937019969278,"[[884, 201], [34, 896]]"
best_seed28,0.35,10,28,0.49849999999999994,0.6296774193548387,0.6274880750262755,0.8833746898263027,0.8890937019969278,"[[884, 201], [34, 896]]"
seed50_leaf8,0.35,8,50,0.524,0.6230645161290322,0.6196701430996847,0.8833746898263027,0.8889400921658986,"[[886, 199], [36, 894]]"
best_seed28,0.35,10,28,0.5,0.6303225806451613,0.6280701754385964,0.8833746898263027,0.888863287250384,"[[887, 198], [37, 893]]"
best_seed28,0.35,10,28,0.5005,0.6301612903225806,0.6278842266957717,0.8833746898263027,0.888863287250384,"[[887, 198], [37, 893]]"
best_seed28,0.35,10,28,0.501,0.6304838709677419,0.6281752769019322,0.8833746898263027,0.888863287250384,"[[887, 198], [37, 893]]"
best_seed28,0.35,10,28,0.5015,0.6304838709677419,0.6281591074460344,0.8833746898263027,0.888863287250384,"[[887, 198], [37, 893]]"
best_seed28,0.35,10,28,0.5034807423935318,0.6301612903225806,0.6276255154014068,0.8833746898263027,0.8887096774193548,"[[889, 196], [39, 891]]"
best_seed28,0.35,10,28,0.5035,0.6301612903225806,0.6276255154014068,0.8833746898263027,0.8887096774193548,"[[889, 196], [39, 891]]"
seed50_leaf8,0.35,8,50,0.502,0.6241935483870967,0.6224270353302611,0.88287841191067,0.8904761904761904,"[[859, 226], [10, 920]]"
best_seed198,0.35,8,198,0.493,0.6232258064516129,0.6217479181825531,0.88287841191067,0.890168970814132,"[[863, 222], [14, 916]]"
best_seed198,0.35,8,198,0.49349999999999994,0.6241935483870967,0.6226210688010348,0.88287841191067,0.890168970814132,"[[863, 222], [14, 916]]"
best_seed198,0.35,8,198,0.494,0.6243548387096775,0.6227585091761663,0.88287841191067,0.890168970814132,"[[863, 222], [14, 916]]"
best_seed198,0.35,8,198,0.49649999999999994,0.6241935483870967,0.622443204786159,0.88287841191067,0.8900921658986175,"[[864, 221], [15, 915]]"
best_seed198,0.35,8,198,0.497,0.6243548387096775,0.6225968146171881,0.88287841191067,0.8900921658986175,"[[864, 221], [15, 915]]"
best_seed198,0.35,8,198,0.499,0.6245161290322581,0.6226372382569326,0.88287841191067,0.890015360983103,"[[865, 220], [16, 914]]"
best_seed198,0.35,8,198,0.5005,0.6235483870967742,0.6214730374322904,0.88287841191067,0.8897849462365592,"[[868, 217], [19, 911]]"
best_seed198,0.35,8,198,0.501,0.622741935483871,0.6206079715417576,0.88287841191067,0.8897849462365592,"[[868, 217], [19, 911]]"
best_seed198,0.35,8,198,0.5125,0.6220967741935484,0.6191527205109548,0.88287841191067,0.8889400921658986,"[[879, 206], [30, 900]]"
seed50_leaf8,0.35,8,50,0.5245,0.622741935483871,0.6193144150699329,0.88287841191067,0.8884024577572964,"[[886, 199], [37, 893]]"
best_seed28,0.35,10,28,0.502,0.63,0.6276012612175601,0.88287841191067,0.8883256528417818,"[[887, 198], [38, 892]]"
best_seed28,0.35,10,28,0.5025,0.6303225806451613,0.6278599725119249,0.88287841191067,0.8882488479262672,"[[888, 197], [39, 891]]"
best_seed28,0.35,10,28,0.503,0.63,0.6274880750262753,0.88287841191067,0.8882488479262672,"[[888, 197], [39, 891]]"
best_seed28,0.35,10,28,0.504,0.6303225806451613,0.6277467863206403,0.88287841191067,0.8881720430107527,"[[889, 196], [40, 890]]"
seed50_leaf8,0.35,8,50,0.49549999999999994,0.6237096774193548,0.6224512895141079,0.8823821339950372,0.8902457757296467,"[[855, 230], [7, 923]]"
seed50_leaf8,0.35,8,50,0.497,0.6235483870967742,0.6221521545799984,0.8823821339950372,0.8901689708141322,"[[856, 229], [8, 922]]"
seed50_leaf8,0.35,8,50,0.49749999999999994,0.6235483870967742,0.622103646212305,0.8823821339950372,0.8901689708141322,"[[856, 229], [8, 922]]"
seed50_leaf8,0.35,8,50,0.501,0.6237096774193548,0.622014714204867,0.8823821339950372,0.890015360983103,"[[858, 227], [10, 920]]"
seed50_leaf8,0.35,8,50,0.5012233416050664,0.6238709677419355,0.6221683240358962,0.8823821339950372,0.890015360983103,"[[858, 227], [10, 920]]"
seed50_leaf8,0.35,8,50,0.5015,0.6238709677419355,0.6221683240358962,0.8823821339950372,0.890015360983103,"[[858, 227], [10, 920]]"
best_seed198,0.35,8,198,0.49949999999999994,0.6238709677419355,0.6219419516533269,0.8823821339950372,0.8894009216589862,"[[866, 219], [18, 912]]"
best_seed198,0.35,8,198,0.5,0.6235483870967742,0.6215538847117794,0.8823821339950372,0.8893241167434716,"[[867, 218], [19, 911]]"
best_seed198,0.35,8,198,0.5105,0.6220967741935484,0.6192497372463417,0.8823821339950372,0.8884792626728111,"[[878, 207], [30, 900]]"
best_seed198,0.35,8,198,0.5109434184180475,0.6220967741935484,0.6192173983345461,0.8823821339950372,0.8884792626728111,"[[878, 207], [30, 900]]"
best_seed198,0.35,8,198,0.511,0.6220967741935484,0.6192173983345461,0.8823821339950372,0.8884792626728111,"[[878, 207], [30, 900]]"
best_seed198,0.35,8,198,0.5115,0.6220967741935484,0.6192012288786481,0.8823821339950372,0.8884792626728111,"[[878, 207], [30, 900]]"
best_seed198,0.35,8,198,0.512,0.6220967741935484,0.6191527205109548,0.8823821339950372,0.8884792626728111,"[[878, 207], [30, 900]]"
best_seed28,0.35,10,28,0.5045,0.6301612903225806,0.6275608375778154,0.8823821339950372,0.8876344086021506,"[[889, 196], [41, 889]]"
seed50_leaf8,0.35,8,50,0.495,0.6237096774193548,0.6224836284259034,0.8818858560794045,0.8897849462365591,"[[854, 231], [7, 923]]"
seed50_leaf8,0.35,8,50,0.496,0.6230645161290322,0.621756002910502,0.8818858560794045,0.8897081413210446,"[[855, 230], [8, 922]]"
seed50_leaf8,0.35,8,50,0.49649999999999994,0.6225806451612903,0.621246665049721,0.8818858560794045,0.8897081413210446,"[[855, 230], [8, 922]]"
seed50_leaf8,0.35,8,50,0.5005,0.6237096774193548,0.6220632225725604,0.8818858560794045,0.8895545314900153,"[[857, 228], [10, 920]]"
best_seed198,0.35,8,198,0.49149999999999994,0.6225806451612903,0.6212304955938233,0.8818858560794045,0.8894009216589862,"[[859, 226], [12, 918]]"
best_seed198,0.35,8,198,0.49249999999999994,0.6229032258064516,0.6214568679763925,0.8818858560794045,0.889247311827957,"[[861, 224], [14, 916]]"
best_seed28,0.35,10,28,0.495,0.6298387096774194,0.6277872099603848,0.8818858560794045,0.887941628264209,"[[878, 207], [31, 899]]"
best_seed28,0.35,10,28,0.49549999999999994,0.63,0.627940819791414,0.8818858560794045,0.887941628264209,"[[878, 207], [31, 899]]"
best_seed28,0.35,10,28,0.505,0.6295161290322581,0.626833212062414,0.8818858560794045,0.8870967741935484,"[[889, 196], [42, 888]]"
