model,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
gb_lr0.05_d1,sweep,0.6110892248587869,0.6256451612903225,0.8337468982630273,0.8380184331797236,"[[849, 236], [99, 831]]"
gb_lr0.03_d1,sweep,0.6275466273512348,0.6111290322580645,0.8337468982630273,0.8372503840245775,"[[859, 226], [109, 821]]"
gb_lr0.03_d2,sweep,0.5777428253546548,0.6338709677419355,0.8332506203473945,0.8382488479262673,"[[839, 246], [90, 840]]"
gb_lr0.03_d3,sweep,0.6053050510289132,0.6179032258064516,0.8332506203473945,0.8377880184331796,"[[845, 240], [96, 834]]"
gb_lr0.03_d2,sweep,0.5882270879742693,0.6308064516129033,0.8332506203473945,0.8374039938556068,"[[850, 235], [101, 829]]"
gb_lr0.08_d1,sweep,0.6109800329347794,0.6290322580645161,0.8332506203473945,0.8368663594470046,"[[857, 228], [108, 822]]"
gb_lr0.03_d1,sweep,0.5433995066906169,0.6443548387096775,0.8327543424317618,0.8440092165898618,"[[757, 328], [9, 921]]"
gb_lr0.03_d2,sweep,0.5735126998912778,0.6341935483870967,0.8327543424317618,0.838095238095238,"[[834, 251], [86, 844]]"
gb_lr0.03_d2,sweep,0.5878778634851839,0.6304838709677419,0.8327543424317618,0.8370199692780338,"[[848, 237], [100, 830]]"
gb_lr0.03_d2,sweep,0.6008457935560095,0.625,0.8327543424317618,0.8362519201228878,"[[858, 227], [110, 820]]"
gb_lr0.03_d2,sweep,0.6013828032266672,0.6246774193548387,0.8327543424317618,0.8362519201228878,"[[858, 227], [110, 820]]"
gb_lr0.08_d1,sweep,0.6168110062868579,0.6258064516129033,0.8327543424317618,0.8358678955453149,"[[863, 222], [115, 815]]"
gb_lr0.08_d1,sweep,0.525122749858629,0.6412903225806451,0.832258064516129,0.8418586789554532,"[[778, 307], [31, 899]]"
gb_lr0.03_d2,sweep,0.5647166877034598,0.6337096774193548,0.832258064516129,0.8380184331797236,"[[828, 257], [81, 849]]"
gb_lr0.03_d2,sweep,0.5662961355564591,0.6340322580645161,0.832258064516129,0.8379416282642089,"[[829, 256], [82, 848]]"
gb_lr0.03_d2,sweep,0.5940224580727554,0.6270967741935484,0.832258064516129,0.8361751152073733,"[[852, 233], [105, 825]]"
gb_lr0.03_d2,sweep,0.6091031785446004,0.6225806451612903,0.832258064516129,0.835099846390169,"[[866, 219], [119, 811]]"
gb_lr0.08_d1,sweep,0.5259658639665072,0.6406451612903226,0.8317617866004963,0.841321044546851,"[[778, 307], [32, 898]]"
gb_lr0.08_d1,sweep,0.6126490995262276,0.6282258064516129,0.8317617866004963,0.8352534562211982,"[[857, 228], [111, 819]]"
gb_lr0.03_d2,sweep,0.6114737057658427,0.6216129032258064,0.8317617866004963,0.8344854070660522,"[[867, 218], [121, 809]]"
gb_lr0.03_d2,sweep,0.6162740135195738,0.6196774193548387,0.8317617866004963,0.8341781874039939,"[[871, 214], [125, 805]]"
gb_lr0.03_d2,sweep,0.6293018542636255,0.613225806451613,0.8317617866004963,0.8331797235023042,"[[884, 201], [138, 792]]"
gb_lr0.03_d1,sweep,0.5303496918377603,0.645483870967742,0.8312655086848635,0.843010752688172,"[[749, 336], [4, 926]]"
gb_lr0.03_d2,sweep,0.5185407273085674,0.6403225806451613,0.8312655086848635,0.8398617511520737,"[[790, 295], [45, 885]]"
gb_lr0.03_d2,sweep,0.5516100723240361,0.6348387096774194,0.8312655086848635,0.8377880184331797,"[[817, 268], [72, 858]]"
gb_lr0.03_d2,sweep,0.5516681518444512,0.6346774193548387,0.8312655086848635,0.8377880184331797,"[[817, 268], [72, 858]]"
gb_lr0.03_d3,sweep,0.5811111281717002,0.6237096774193548,0.8312655086848635,0.8370199692780338,"[[827, 258], [82, 848]]"
gb_lr0.03_d3,sweep,0.5866472768742357,0.6235483870967742,0.8312655086848635,0.8367895545314901,"[[830, 255], [85, 845]]"
gb_lr0.05_d1,sweep,0.6179309101864107,0.6203225806451613,0.8312655086848635,0.8348694316436251,"[[855, 230], [110, 820]]"
gb_lr0.03_d1,sweep,0.6318018323387469,0.6085483870967742,0.8312655086848635,0.8342549923195084,"[[863, 222], [118, 812]]"
gb_lr0.08_d1,sweep,0.6225739674165099,0.6243548387096775,0.8312655086848635,0.8340245775729647,"[[866, 219], [121, 809]]"
gb_lr0.03_d1,sweep,0.5245230077802551,0.6488709677419355,0.8307692307692308,0.8427803379416283,"[[745, 340], [1, 929]]"
gb_lr0.03_d3,sweep,0.6122391805260105,0.6167741935483871,0.8307692307692308,0.8350230414746544,"[[846, 239], [102, 828]]"
gb_lr0.03_d3,sweep,0.613136058650438,0.6174193548387097,0.8307692307692308,0.8349462365591398,"[[847, 238], [103, 827]]"
gb_lr0.08_d1,sweep,0.6229622103947665,0.6243548387096775,0.8307692307692308,0.8334869431643626,"[[866, 219], [122, 808]]"
gb_lr0.03_d1,sweep,0.5279070283865276,0.646774193548387,0.830272952853598,0.8420890937019969,"[[747, 338], [4, 926]]"
gb_lr0.03_d2,sweep,0.6226336022927013,0.6172580645161291,0.830272952853598,0.832258064516129,"[[875, 210], [132, 798]]"
gb_lr0.03_d2,sweep,0.6229518487384915,0.6167741935483871,0.830272952853598,0.832258064516129,"[[875, 210], [132, 798]]"
gb_lr0.08_d1,sweep,0.6306250026362562,0.6222580645161291,0.830272952853598,0.832258064516129,"[[875, 210], [132, 798]]"
gb_lr0.03_d2,sweep,0.6324674960867956,0.6114516129032258,0.830272952853598,0.8314900153609831,"[[885, 200], [142, 788]]"
gb_lr0.03_d1,sweep,0.5364774196885865,0.6458064516129032,0.8297766749379653,0.8413210445468511,"[[750, 335], [8, 922]]"
gb_lr0.03_d2,sweep,0.5431892320907981,0.6366129032258064,0.8297766749379653,0.8367895545314901,"[[809, 276], [67, 863]]"
gb_lr0.03_d2,sweep,0.5591915494355136,0.635483870967742,0.8297766749379653,0.8359447004608295,"[[820, 265], [78, 852]]"
gb_lr0.03_d3,sweep,0.5776227352477592,0.6240322580645161,0.8297766749379653,0.8358678955453149,"[[821, 264], [79, 851]]"
gb_lr0.03_d3,sweep,0.6211629352617507,0.6166129032258064,0.8297766749379653,0.8332565284178188,"[[855, 230], [113, 817]]"
gb_lr0.03_d3,sweep,0.6212728431819775,0.6166129032258064,0.8297766749379653,0.8332565284178188,"[[855, 230], [113, 817]]"
gb_lr0.05_d1,sweep,0.6191355939721036,0.6191935483870967,0.8297766749379653,0.8332565284178188,"[[855, 230], [113, 817]]"
gb_lr0.03_d1,sweep,0.6347176877648176,0.6080645161290322,0.8297766749379653,0.8324884792626728,"[[865, 220], [123, 807]]"
gb_lr0.08_d1,sweep,0.6307402157861935,0.6225806451612903,0.8297766749379653,0.8317204301075268,"[[875, 210], [133, 797]]"
gb_lr0.03_d1,sweep,0.652675124146108,0.5993548387096774,0.8297766749379653,0.829800307219662,"[[900, 185], [158, 772]]"
gb_lr0.03_d1,sweep,0.5184595767159519,0.6490322580645161,0.8292803970223325,0.8414746543778802,"[[741, 344], [0, 930]]"
gb_lr0.03_d1,sweep,0.6450652811158183,0.6011290322580645,0.8292803970223325,0.8304915514592934,"[[884, 201], [143, 787]]"
gb_lr0.03_d2,sweep,0.5165659604934922,0.6395161290322581,0.8287841191066998,0.8375576036866359,"[[785, 300], [45, 885]]"
gb_lr0.05_d1,sweep,0.6241738992162197,0.6175806451612903,0.8287841191066998,0.8319508448540707,"[[858, 227], [118, 812]]"
gb_lr0.03_d1,sweep,0.6362625145220013,0.6069354838709677,0.8287841191066998,0.8312596006144393,"[[867, 218], [127, 803]]"
gb_lr0.03_d1,sweep,0.6393854566834657,0.6038709677419355,0.8287841191066998,0.8307987711213518,"[[873, 212], [133, 797]]"
gb_lr0.03_d2,sweep,0.526588844152459,0.6395161290322581,0.828287841191067,0.8363287250384025,"[[794, 291], [55, 875]]"
gb_lr0.03_d2,sweep,0.5383431607886279,0.637258064516129,0.828287841191067,0.8355606758832566,"[[804, 281], [65, 865]]"
gb_lr0.03_d1,sweep,0.6399825320862804,0.6037096774193549,0.828287841191067,0.8302611367127497,"[[873, 212], [134, 796]]"
gb_lr0.03_d2,sweep,0.6356190239302555,0.609516129032258,0.828287841191067,0.8291858678955453,"[[887, 198], [148, 782]]"
gb_lr0.03_d1,sweep,0.651197725640447,0.6009677419354839,0.828287841191067,0.8287250384024577,"[[893, 192], [154, 776]]"
gb_lr0.03_d1,sweep,0.6538504042893704,0.5993548387096774,0.828287841191067,0.8279569892473118,"[[903, 182], [164, 766]]"
gb_lr0.03_d1,sweep,0.6563974409273793,0.5962903225806452,0.828287841191067,0.827726574500768,"[[906, 179], [167, 763]]"
gb_lr0.03_d1,sweep,0.6602616423175469,0.5954838709677419,0.828287841191067,0.8269585253456222,"[[916, 169], [177, 753]]"
gb_lr0.05_d1,sweep,0.5227814207229536,0.6429032258064517,0.8277915632754342,0.8385560675883257,"[[758, 327], [20, 910]]"
gb_lr0.03_d2,sweep,0.5267511865590977,0.6396774193548387,0.8277915632754342,0.8357910906298003,"[[794, 291], [56, 874]]"
gb_lr0.03_d3,sweep,0.629067331821409,0.612741935483871,0.8277915632754342,0.8304915514592934,"[[863, 222], [125, 805]]"
