pos_weight,min_samples_leaf,max_features,threshold_strategy,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_confusion_matrix
0.45,5,0.6,fs_accuracy,0.502845963982097,0.6391935483870967,0.6417576198560919,0.8466501240694789,0.8556067588325653,"[[802, 283], [26, 904]]"
0.45,5,0.6,fs_balanced,0.4931069530925104,0.6390322580645161,0.6422022798932816,0.8426799007444169,0.8519969278033794,"[[793, 292], [25, 905]]"
0.8,4,0.4,default,0.5,0.6361290322580645,0.6407470288624788,0.8292803970223325,0.8404761904761904,"[[754, 331], [13, 917]]"
0.8,4,0.4,fs_accuracy,0.5270883880362063,0.6377419354838709,0.6409087234214569,0.8441687344913151,0.8536866359447004,"[[792, 293], [21, 909]]"
0.8,4,0.4,fs_balanced,0.49739376308321487,0.6366129032258064,0.6413857223704422,0.828287841191067,0.8397081413210445,"[[750, 335], [11, 919]]"
0.45,8,sqrt,default,0.5,0.6283870967741936,0.6284420729242461,0.8650124069478908,0.8741167434715822,"[[820, 265], [7, 923]]"
0.45,8,sqrt,fs_accuracy,0.4298041732679314,0.6345161290322581,0.6386773385075593,0.832258064516129,0.8442396313364056,"[[747, 338], [0, 930]]"
0.45,8,sqrt,fs_balanced,0.4264758116722449,0.6343548387096775,0.6387177621473037,0.830272952853598,0.8423963133640553,"[[743, 342], [0, 930]]"
0.35,10,sqrt,default,0.5,0.625,0.6224189506023122,0.8769230769230769,0.8828725038402458,"[[874, 211], [37, 893]]"
0.35,10,sqrt,fs_accuracy,0.3729067941517005,0.6366129032258064,0.6417899587678875,0.8198511166253102,0.8327188940092166,"[[722, 363], [0, 930]]"
0.35,10,sqrt,fs_balanced,0.3729067941517005,0.6366129032258064,0.6417899587678875,0.8198511166253102,0.8327188940092166,"[[722, 363], [0, 930]]"
0.35,6,0.4,default,0.5,0.6385483870967742,0.6400598269868218,0.854590570719603,0.862826420890937,"[[820, 265], [28, 902]]"
0.35,6,0.4,fs_accuracy,0.4716939640826283,0.6438709677419355,0.6466488802651791,0.8461538461538461,0.8563748079877112,"[[785, 300], [10, 920]]"
0.35,6,0.4,fs_balanced,0.4637829965313649,0.6435483870967742,0.6467297275446682,0.8416873449131513,0.8524577572964669,"[[773, 312], [7, 923]]"
0.65,12,0.25,default,0.5,0.6341935483870967,0.6368016816234134,0.8555831265508684,0.8653609831029185,"[[801, 284], [7, 923]]"
0.65,12,0.25,fs_accuracy,0.48073695969367436,0.6356451612903226,0.639202845824238,0.8431761786600497,0.8541474654377881,"[[772, 313], [3, 927]]"
0.65,12,0.25,fs_balanced,0.48073695969367436,0.6356451612903226,0.639202845824238,0.8431761786600497,0.8541474654377881,"[[772, 313], [3, 927]]"
0.8,8,0.6,default,0.5,0.6314516129032258,0.6356779044385157,0.8362282878411911,0.8463901689708142,"[[775, 310], [20, 910]]"
0.8,8,0.6,fs_accuracy,0.48476694656278274,0.6333870967741936,0.6385560675883257,0.8287841191066998,0.8400921658986176,"[[752, 333], [12, 918]]"
0.8,8,0.6,fs_balanced,0.48476694656278274,0.6333870967741936,0.6385560675883257,0.8287841191066998,0.8400921658986176,"[[752, 333], [12, 918]]"
0.45,10,0.4,default,0.5,0.6358064516129033,0.6368825289029023,0.860545905707196,0.8678955453149002,"[[838, 247], [34, 896]]"
0.45,10,0.4,fs_accuracy,0.4631273150583898,0.6433870967741936,0.6463659147869674,0.8466501240694789,0.8565284178187405,"[[790, 295], [14, 916]]"
0.45,10,0.4,fs_balanced,0.4596529759389484,0.6432258064516129,0.6464063384267119,0.8466501240694789,0.8566820276497695,"[[788, 297], [12, 918]]"
0.8,12,0.4,default,0.5,0.6370967741935484,0.6409248928773548,0.8347394540942928,0.8456989247311828,"[[763, 322], [11, 919]]"
0.8,12,0.4,fs_accuracy,0.5261983690311735,0.640483870967742,0.6430511763279165,0.8481389578163772,0.8572964669738863,"[[801, 284], [22, 908]]"
0.8,12,0.4,fs_balanced,0.5261983690311735,0.640483870967742,0.6430511763279165,0.8481389578163772,0.8572964669738863,"[[801, 284], [22, 908]]"
1.0,5,0.6,default,0.5,0.6246774193548387,0.6302773061686475,0.8267990074441688,0.8380952380952381,"[[750, 335], [14, 916]]"
1.0,5,0.6,fs_accuracy,0.5556090878220142,0.6290322580645161,0.6309645080443043,0.8471464019851117,0.8551459293394776,"[[815, 270], [38, 892]]"
1.0,5,0.6,fs_balanced,0.5227982418358056,0.6283870967741936,0.6325329452663917,0.8347394540942928,0.8447772657450077,"[[775, 310], [23, 907]]"
0.8,4,sqrt,default,0.5,0.6332258064516129,0.6376101544183038,0.8317617866004963,0.843778801843318,"[[746, 339], [0, 930]]"
0.8,4,sqrt,fs_accuracy,0.5069061340753868,0.6343548387096775,0.6383135257498584,0.8362282878411911,0.847926267281106,"[[755, 330], [0, 930]]"
